,Boat,Price,Website,Source,Year,Make,Model,Class,Length
36,2021 Malibu Wakesetter Lsv 23,Request a Price,https://www.boattrader.com/boat/2021-malibu-wakesetter-lsv-23-7562838/,Boat Trader,2021,Malibu,Wakesetter Lsv 23,Ski and Wakeboard,23'
37,2021 Axis A20,Request a Price,https://www.boattrader.com/boat/2021-axis-a20-7562839/,Boat Trader,2021,Axis,A20,Ski and Wakeboard,20'
38,2021 Malibu Wakesetter Lsv 23,Request a Price,https://www.boattrader.com/boat/2021-malibu-wakesetter-lsv-23-7579545/,Boat Trader,2021,Malibu,Wakesetter Lsv 23,Ski and Wakeboard,23'
39,2021 Malibu 23 MXZ,Request a Price,https://www.boattrader.com/boat/2021-malibu-23-mxz-7553597/,Boat Trader,2021,Malibu,23 MXZ,Ski and Wakeboard,23'
40,2012 Malibu 22 MXZ,"$67,650",https://www.boattrader.com/boat/2012-malibu-22-mxz-7211171/,Boat Trader,2012,Malibu,22 MXZ,Ski and Wakeboard,22'
41,2018 Supra SE 550,"$147,000",https://www.boattrader.com/boat/2018-supra-se-550-7396427/,Boat Trader,2018,Supra,SE 550,Ski and Wakeboard,26'
42,2021 Malibu 24 MXZ,Request a Price,https://www.boattrader.com/boat/2021-malibu-24-mxz-7540167/,Boat Trader,2021,Malibu,24 MXZ,Ski and Wakeboard,24'
43,2021 Malibu Wakesetter Lsv 23,Request a Price,https://www.boattrader.com/boat/2021-malibu-wakesetter-lsv-23-7572763/,Boat Trader,2021,Malibu,Wakesetter Lsv 23,Ski and Wakeboard,23'
44,2021 Malibu Wakesetter Lsv 23,Request a Price,https://www.boattrader.com/boat/2021-malibu-wakesetter-lsv-23-7560264/,Boat Trader,2021,Malibu,Wakesetter Lsv 23,Ski and Wakeboard,23'
45,2021 Axis A24,Request a Price,https://www.boattrader.com/boat/2021-axis-a24-7562841/,Boat Trader,2021,Axis,A24,Ski and Wakeboard,24'
46,2021 Malibu 22 LSV,Request a Price,https://www.boattrader.com/boat/2021-malibu-22-lsv-7562834/,Boat Trader,2021,Malibu,22 LSV,Ski and Wakeboard,22'
47,1983 Tahiti Caribbean Day Cruiser,"$20,500",https://www.boattrader.com/boat/1983-tahiti-caribbean-day-cruiser-5436827/,Boat Trader,1983,Tahiti,Caribbean Day Cruiser,Cuddy Cabin,25'
48,2014 Mastercraft X-46,"$95,000",https://www.boattrader.com/boat/2014-mastercraft-x-46-7549983/,Boat Trader,2014,Mastercraft,X-46,Ski and Wakeboard,25'
49,1995 Wellcraft 218ccf,"$16,750",https://www.boattrader.com/boat/1995-wellcraft-218ccf-7331624/,Boat Trader,1995,Wellcraft,218ccf,Center Console,21'
50,2013 Malibu Wakesetter 23 LSV,"$70,000",https://www.boattrader.com/boat/2013-malibu-wakesetter-23-lsv-7553058/,Boat Trader,2013,Malibu,Wakesetter 23 LSV,Ski and Wakeboard,23'
51,1993 Four Winns 285 Express,"$28,500",https://www.boattrader.com/boat/1993-four-winns-285-express-4810464/,Boat Trader,1993,Four Winns,285 Express,Express Cruiser,28'
52,1992 Custom Zamco Aqua Lark,"$3,500",https://www.boattrader.com/boat/1992-custom-zamco-aqua-lark-7560303/,Boat Trader,1992,Custom,Zamco Aqua Lark,Runabout,8'
53,1993 Bayliner 2855 Ciera,"$21,250",https://www.boattrader.com/boat/1993-bayliner-2855-ciera-7519201/,Boat Trader,1993,Bayliner,2855 Ciera,Express Cruiser,28'
54,1989 Four Winns 241 Liberator,"$10,500",https://www.boattrader.com/boat/1989-four-winns-241-liberator-7217085/,Boat Trader,1989,Four Winns,241 Liberator,High Performance,24'
55,2005 Sea Ray 260 Sundancer,"$21,096",https://www.boattrader.com/boat/2005-sea-ray-260-sundancer-7579344/,Boat Trader,2005,Sea Ray,260 Sundancer,Cruisers,28'
56,2008 Four Winns H210,"$25,000",https://www.boattrader.com/boat/2008-four-winns-h210-7565154/,Boat Trader,2008,Four Winns,H210,Ski and Wakeboard,21'
57,2008 Beachcomber 20 Cruise,"$17,000",https://www.boattrader.com/boat/2008-beachcomber-20-cruise-7529493/,Boat Trader,2008,Beachcomber,20 Cruise,Pontoon,20'
58,1991 Sea Ray 480 /500 Sundancer,"$99,000",https://www.boattrader.com/boat/1991-sea-ray-480-500-sundancer-7359667/,Boat Trader,1991,Sea Ray,480 /500 Sundancer,Express Cruiser,48'
59,2021 Landau 192 Island Breeze Cruise Basic,Request a Price,https://www.boattrader.com/boat/2021-landau-192-island-breeze-cruise-basic-7550596/,Boat Trader,2021,Landau,192 Island Breeze Cruise Basic,Pontoon,18'
60,2021 Landau 2200 Signature Cruise Tri-Log,Request a Price,https://www.boattrader.com/boat/2021-landau-2200-signature-cruise-tri-log-7569898/,Boat Trader,2021,Landau,2200 Signature Cruise Tri-Log,Pontoon,22'
61,2018 Supra SL 550,"$125,999",https://www.boattrader.com/boat/2018-supra-sl-550-7541163/,Boat Trader,2018,Supra,SL 550,Ski and Wakeboard,23'
62,2021 Moomba Mondo,Request a Price,https://www.boattrader.com/boat/2021-moomba-mondo-7578772/,Boat Trader,2021,Moomba,Mondo,Ski and Wakeboard,21'
63,2021 Moomba Kaiyen,Request a Price,https://www.boattrader.com/boat/2021-moomba-kaiyen-7547192/,Boat Trader,2021,Moomba,Kaiyen,Bowrider,21'
64,2021 Landau 230 Atlantis Sport Cruise – Rear Lounge Tri-Log,Request a Price,https://www.boattrader.com/boat/2021-landau-230-atlantis-sport-cruise-rear-lounge-tri-log-7578787/,Boat Trader,2021,Landau,230 Atlantis Sport Cruise – Rear Lounge Tri-Log,Pontoon,23'
65,2021 Landau 212 A’Lure Fishing Tri-Log,Request a Price,https://www.boattrader.com/boat/2021-landau-212-a-lure-fishing-tri-log-7566093/,Boat Trader,2021,Landau,212 A’Lure Fishing Tri-Log,Pontoon,20'
66,1994 Bayliner 2050 Capri,"$6,995",https://www.boattrader.com/boat/1994-bayliner-2050-capri-7580941/,Boat Trader,1994,Bayliner,2050 Capri,Bowrider,20'
67,2021 Glastron GTD 225 FWD,Request a Price,https://www.boattrader.com/boat/2021-glastron-gtd-225-fwd-7580933/,Boat Trader,2021,Glastron,GTD 225 FWD,Pontoon,22'
68,2021 Landau 220 Atlantis Cruise Sport Rear Lounge Tri-Log,Request a Price,https://www.boattrader.com/boat/2021-landau-220-atlantis-cruise-sport-rear-lounge-tri-log-7569890/,Boat Trader,2021,Landau,220 Atlantis Cruise Sport Rear Lounge Tri-Log,Pontoon,22'
69,2021 Landau 232 Island Breeze Rear Fish Tri-Log,Request a Price,https://www.boattrader.com/boat/2021-landau-232-island-breeze-rear-fish-tri-log--7550600/,Boat Trader,2021,Landau,232 Island Breeze Rear Fish Tri-Log,Pontoon,22'
70,2021 Landau 252 Island Breeze Sport Cruise – Swingback Lounge Tri-Log,Request a Price,https://www.boattrader.com/boat/2021-landau-252-island-breeze-sport-cruise-swingback-lounge-tri-log-7569884/,Boat Trader,2021,Landau,252 Island Breeze Sport Cruise – Swingback Lounge Tri-Log,Pontoon,25'
71,2020 Montara SURF BOSS 25,Request a Price,https://www.boattrader.com/boat/2020-montara-surf-boss-25-7531535/,Boat Trader,2020,Montara,SURF BOSS 25,Pontoon,25'
72,2021 Moomba Max,Request a Price,https://www.boattrader.com/boat/2021-moomba-max-7545925/,Boat Trader,2021,Moomba,Max,Ski and Wakeboard,23'
73,2017 Supra SE 550,"$113,999",https://www.boattrader.com/boat/2017-supra-se-550-7560113/,Boat Trader,2017,Supra,SE 550,Ski and Wakeboard,25'
74,2021 Landau 224 A’Lure Fishing Tri-Log,Request a Price,https://www.boattrader.com/boat/2021-landau-224-a-lure-fishing-tri-log-7580925/,Boat Trader,2021,Landau,224 A’Lure Fishing Tri-Log,Pontoon,22'
75,2020 Landau 2300 Signature Cruise,Request a Price,https://www.boattrader.com/boat/2020-landau-2300-signature-cruise-7454909/,Boat Trader,2020,Landau,2300 Signature Cruise,Pontoon,23'
76,2020 Glastron GT 185,Request a Price,https://www.boattrader.com/boat/2020-glastron-gt-185-7131933/,Boat Trader,2020,Glastron,GT 185,Bowrider,18'
77,2021 Landau 252 Island Breeze Rear Lounge Tri-Log,Request a Price,https://www.boattrader.com/boat/2021-landau-252-island-breeze-rear-lounge-tri-log-7550593/,Boat Trader,2021,Landau,252 Island Breeze Rear Lounge Tri-Log,Pontoon,25'
78,2021 Moomba Makai,Request a Price,https://www.boattrader.com/boat/2021-moomba-makai-7566091/,Boat Trader,2021,Moomba,Makai,Ski and Wakeboard,24'
79,2020 Landau 192 A’Lure Fishing Basic,Request a Price,https://www.boattrader.com/boat/2020-landau-192-a-lure-fishing-basic-7527550/,Boat Trader,2020,Landau,192 A’Lure Fishing Basic,Pontoon,19'
80,2016 Supra SG 550,"$108,999",https://www.boattrader.com/boat/2016-supra-sg-550-6746902/,Boat Trader,2016,Supra,SG 550,Ski and Wakeboard,24'
81,2020 Landau 232 Island Breeze Rear Fish Tri-Log,Request a Price,https://www.boattrader.com/boat/2020-landau-232-island-breeze-rear-fish-tri-log-7531511/,Boat Trader,2020,Landau,232 Island Breeze Rear Fish Tri-Log,Pontoon,22'
82,2019 Supra SE 550,"$135,999",https://www.boattrader.com/boat/2019-supra-se-550--7539613/,Boat Trader,2019,Supra,SE 550,Ski and Wakeboard,24'
